K-pts,Plane-Wave,E_PtCO,E_PtCO - wrong,E_Pt,E_CO,E_PtCO - E_Pt - E_CO
221,300,-23525.43947,-23515.43947,-22929.54274,-592.6016092,-3.295113613
221,350,-23525.43947,-23515.43947,-22929.34904,-593.8592914,-2.231130924
221,400,-23525.43947,-23515.43947,-22929.34914,-594.2769204,-1.813401879
221,450,-23525.43947,-23515.43947,-22929.67335,-594.4017818,-1.364339133
221,500,-23525.43947,-23515.43947,-22929.79696,-594.4017829,-1.240723345
221,550,-23525.43947,-23515.43947,-22929.89464,-594.4078326,-1.13699037
221,600,-23525.43947,-23515.43947,-22929.90911,-594.4436872,-1.086667836
221,650,-23525.43947,-23515.43947,-22928.40959,-594.4436872,-2.586185036
221,700,-23525.43947,-23515.43947,-22928.46959,-594.4436872,-2.526185036
221,750,-23525.43947,-23515.43947,-22928.52959,-594.4436872,-2.466185036
221,800,-23525.43947,-23515.43947,-22928.46959,-594.4436872,-2.526185036
331,300,-23502.44804,,-22928.88393,-592.6016092,19.03749429
331,350,-23502.44804,,-22928.38393,-593.8592914,19.79517648
331,400,-23502.44804,,-22928.88393,-594.2769204,20.71280552
331,450,-23502.44804,,-22928.88393,-594.4017818,20.83766687
331,500,-23502.44804,,-22928.88393,-594.4017829,20.83766795
331,550,-23502.44804,,-22928.88393,-594.4078326,20.84371773
331,600,-23502.44804,,-22928.88393,-594.4436872,20.87957226
331,650,-23502.44804,,-22928.88393,-594.4436872,20.87957226
331,700,-23502.44804,,-22928.88393,-594.4436872,20.87957226
331,750,-23502.44804,,-22928.88393,-594.4436872,20.87957226
331,800,-23502.44804,,-22928.88393,-594.4436872,20.87957226
441,300,-23524.42424,-23514.42424,-22907.88805,-592.6016092,-23.93458041
441,350,-23524.4241,-23514.4241,-22924.44276,-593.8592914,-6.122048724
441,400,-23524.42417,-23514.42417,-22928.45262,-594.2769204,-1.694630979
441,450,-23524.4243,-23514.4243,-22928.45243,-594.4017818,-1.570088233
441,500,-23524.4243,,-22928.45365,-594.4017829,-1.568862845
441,550,-23524.4243,,-22928.45262,-594.4078326,-1.56384567
441,600,-23524.4243,,-22928.44536,-594.4436872,-1.535249016
441,650,-23524.4243,,-22928.45272,-594.4436872,-1.527887936
441,700,-23524.4243,,-22928.45262,-594.4436872,-1.527988336
441,750,-23524.4243,,-22928.45263,-594.4436872,-1.527986336
441,800,-23524.42418,-23524.41418,-22928.45262,-594.4436872,-1.527872136
551,300,-23524.55904,-23508.60999,-22928.44149,-592.6016092,-3.515939913
551,350,-23524.55893,-23512.43624,-22928.44149,-593.8592914,-2.258153324
551,400,-23524.55903,-23512.89459,-22928.44149,-594.2769204,-1.840626079
551,450,-23524.55887,-23512.96572,-22928.44149,-594.4017818,-1.715600233
551,500,-23524.55902,-23513.07027,-22928.44149,-594.4017829,-1.715747145
551,550,-23524.55902,-23513.16506,-22928.44149,-594.4078326,-1.70969737
551,600,-23524.44893,-23513.1125,-22928.44149,-594.4436872,-1.563759436
551,650,-23524.55895,-23513.1304,-22928.44149,-594.4436872,-1.673770436
551,700,-23524.43146,-23513.14443,-22928.44149,-594.4436872,-1.546284736
551,750,-23524.43147,-23513.16755,-22928.44149,-594.4436872,-1.546294236
551,800,-23524.55903,-23490.63484,-22928.44149,-594.4436872,-1.673856336
661,300,-23518.613,,-22928.47059,-592.6016092,#REF!
661,350,-23518.615,,-22928.47059,-593.8592914,3.716885376
661,400,-23518.615,,-22928.47059,-594.2769204,4.132514921
661,450,-23518.615,,-22928.46959,-594.4017818,4.256376267
661,500,-23518.615,,-22928.47059,-594.4017829,4.257377355
661,550,-23518.615,,-22928.47059,-594.4078326,4.26342713
661,600,-23518.615,,-22928.47059,-594.4436872,4.299281664
661,650,-23518.615,,-22928.27941,-594.4436872,4.108100464
661,700,-23518.615,,-22928.58893,-594.4436872,4.417614764
661,750,-23518.615,,-22928.58393,-594.4436872,4.412614764
661,800,-23518.615,,-22928.58893,-594.4436872,4.417614764
771,300,-23518.611,,-22924.47104,-592.6016092,-1.538352413
771,350,-23518.613,,-22924.47105,-593.8592914,-0.282658324
771,400,-23518.613,,-22928.47959,-594.2769204,4.143514921
771,450,-23518.613,,-22928.47959,-594.4017818,4.268376267
771,500,-23518.613,,-22928.47959,-594.4017829,4.268377355
771,550,-23518.613,,-22928.47959,-594.4078326,4.27442713
771,600,-23518.613,,-22928.47959,-594.4436872,4.310281664
771,650,-23518.613,,-22928.28541,-594.4436872,4.116100464
771,700,-23518.613,,-22928.58393,-594.4436872,4.414614764
771,750,-23518.613,,-22928.59393,-594.4436872,4.424614764
771,800,-23518.613,,-22928.58393,-594.4436872,4.414614764
881,300,-23424.42435,-23424.42435,-22928.46959,-592.6016092,96.64684999
881,350,-23524.42423,-23524.42423,-22928.46959,-593.8592914,-2.095340524
881,400,-23524.42371,-23524.42371,-22928.46959,-594.2769204,-1.677197979
881,450,-23524.42423,-23524.42423,-22928.46959,-594.4017818,-1.552858633
881,500,-23524.42373,-23524.42373,-22928.46959,-594.4017829,-1.552352645
881,550,-23524.42376,-23524.42376,-22928.46959,-594.4078326,-1.54633207
881,600,-23524.42424,-23524.42424,-22928.46959,-594.4436872,-1.510958336
881,650,-23534.34378,-23534.34378,-22928.27541,-594.4436872,-11.62467564
881,700,-23524.42418,-23524.42418,-22928.58393,-594.4436872,-1.396561236
881,750,-23524.42427,-23524.42427,-22928.58393,-594.4436872,-1.396656036
881,800,-23524.42426,-23524.42426,-22928.58393,-594.4436872,-1.396649436
